date,y,x,lat,lon,s
2020-03-01,-3050000.0,1000000.0,60.9287874481572,18.152705886651155,0.0964663781320739
2020-03-01,-2950000.0,1450000.0,60.21109459770162,26.17528998175993,0.3612962710146145
2020-03-01,-2800000.0,1050000.0,62.9575262219228,20.556045219583464,0.1177551784375402
2020-03-01,-2800000.0,1700000.0,60.31721642312628,31.26373169437743,0.080303073531684
2020-03-01,-2750000.0,1050000.0,63.38882922765042,20.897765498838854,0.3161158419123984
2020-03-01,-2750000.0,1650000.0,60.95407079595586,30.96375653207352,0.1780538025707464
2020-03-01,-2750000.0,1700000.0,60.71288502806169,31.723602957684037,0.1111818229162695
2020-03-01,-2700000.0,1050000.0,63.81872733863084,21.25050550713324,0.4102845187174875
2020-03-01,-2650000.0,1050000.0,64.24718194594534,21.614778942786245,0.2418784193524774
2020-03-01,-2650000.0,1100000.0,64.07421140428892,22.54306100005788,0.1073400206405453
2020-03-01,-2600000.0,1050000.0,64.67415134095133,21.99112991717713,0.2486391799552881
2020-03-01,-2600000.0,1100000.0,64.49849491348263,22.93210043758978,0.1238227138222422
2020-03-01,-2550000.0,1050000.0,65.09959048174572,22.380135051959574,0.3947573159575208
2020-03-01,-2550000.0,1100000.0,64.92116328799645,23.334041276709776,0.3398495650334372
2020-03-01,-2500000.0,1050000.0,65.52345073870288,22.78240573048169,0.665671950432523
2020-03-01,-2500000.0,1100000.0,65.34216443951955,23.74949449286676,0.6725361736546784
2020-03-01,-2500000.0,1150000.0,65.15376850182926,24.702430227771316,0.9192085987988148
2020-03-01,-2450000.0,-2200000.0,60.158161408936,-41.92254460057562,0.2009725863076335
2020-03-01,-2450000.0,1100000.0,65.76144226042581,24.179107146689176,0.9010351183883036
2020-03-01,-2400000.0,-2200000.0,60.50197722169781,-42.51044707800084,0.5076463525787285
2020-03-01,-2400000.0,-2150000.0,60.81345938697371,-41.855042535301976,0.3065565166575801
2020-03-01,-2350000.0,-2150000.0,61.15706123937233,-42.4551956201869,0.4285054893511822
2020-03-01,-2350000.0,-2100000.0,61.467676719887535,-41.784516008251785,0.6035724331991835
2020-03-01,-2350000.0,-2050000.0,61.773983165631456,-41.09950625761811,0.4032507118991065
2020-03-01,-2300000.0,-2050000.0,62.12083743210107,-41.71075732150817,0.6012258200495445
2020-03-01,-2300000.0,-2000000.0,62.426183248359216,-41.00908690157022,0.3696227634904786
2020-03-01,-2250000.0,-2000000.0,62.77296497822458,-41.6335393365702,0.5536257712454989
2020-03-01,-2250000.0,-1950000.0,63.077339940714815,-40.91438322002512,0.5469257595135756
2020-03-01,-2250000.0,-1900000.0,63.37708779554814,-40.17923392190735,0.3621495717102628
2020-03-01,-2250000.0,-1850000.0,63.6720719891224,-39.42780219603621,0.1826911551210799
2020-03-01,-2250000.0,-1500000.0,65.59122699118764,-33.690067525979785,0.1980515564187627
2020-03-01,-2250000.0,-1450000.0,65.84268731670603,-32.79953127261921,0.2148186966673475
2020-03-01,-2250000.0,-1300000.0,66.55931305031312,-30.01836742760908,0.4511674705566583
2020-03-01,-2250000.0,-1250000.0,66.78501208987936,-29.054604099077142,0.4362583331403136
2020-03-01,-2250000.0,-1200000.0,67.00382182124538,-28.07248693585296,0.3311655238698183
2020-03-01,-2250000.0,-1150000.0,67.21555901415195,-27.072080237992765,0.2804265505585412
2020-03-01,-2250000.0,1650000.0,64.80149297801599,36.25383773744479,0.5438004216376823
2020-03-01,-2250000.0,1750000.0,64.24718194594534,37.8749836510982,0.7359798242392891
2020-03-01,-2200000.0,-2400000.0,60.50197722169781,-47.48955292199916,0.1175316618523792
2020-03-01,-2200000.0,-1850000.0,64.02613102328066,-40.06078445787381,0.5243805330562803
2020-03-01,-2200000.0,-1800000.0,64.3199087273797,-39.28940686250036,0.4662089891196264
2020-03-01,-2200000.0,-1650000.0,65.1704608258844,-36.86989764584403,0.4759412265512044
2020-03-01,-2200000.0,-1600000.0,65.44319342224026,-36.027373385103616,0.6072022320754877
2020-03-01,-2200000.0,-1550000.0,65.71026058642438,-35.166436035792884,0.6799799859001533
2020-03-01,-2200000.0,-1500000.0,65.97149225939474,-34.28687697720897,0.68987143843916
2020-03-01,-2200000.0,-1450000.0,66.22671447207429,-33.38851357611151,1.0
2020-03-01,-2200000.0,-1400000.0,66.4757495709774,-32.47119229084849,0.9872261329962562
2020-03-01,-2200000.0,-1350000.0,66.718416486205,-31.534791905188296,0.9258443119651092
2020-03-01,-2200000.0,-1300000.0,66.95453104455997,-30.57922687248902,0.910310714357227
2020-03-01,-2200000.0,-1250000.0,67.18390633032263,-29.60445074600491,0.9101466907303376
2020-03-01,-2200000.0,-1200000.0,67.4063530959323,-28.61045966596522,0.8930585877255885
2020-03-01,-2200000.0,-1150000.0,67.62168022443761,-27.597295868643723,0.8270989443415057
2020-03-01,-2200000.0,-1100000.0,67.82969524509352,-26.56505117707799,0.7767768283319689
2020-03-01,-2200000.0,-1050000.0,68.03020490289512,-25.513870427534243,0.5783090468968812
2020-03-01,-2200000.0,-1000000.0,68.22301578214471,-24.443954780416536,0.3974615649606617
2020-03-01,-2200000.0,-950000.0,68.40793498334504,-23.355564859286005,0.2894037811582112
2020-03-01,-2200000.0,-900000.0,68.58477085180738,-22.24902365721237,0.2060123800554846
2020-03-01,-2200000.0,1600000.0,65.44319342224026,36.027373385103616,0.3785604294654927
2020-03-01,-2150000.0,-1800000.0,64.67415134095133,-39.93638314696992,0.6003195668497132
2020-03-01,-2150000.0,-1750000.0,64.96669471958637,-39.143986414571046,0.5309649347692617
