datetime,lon,lat,z,z_mean
2020-02-10 00:51:57,-79.784659625,60.03459065,-41.695825,-42.036249999999995
2020-02-10 00:51:58,-79.79541817500001,60.085638474999996,-41.6843,-41.975175
2020-02-10 00:52:54,-80.1188769,61.570924399999996,-36.4048,-36.721500000000006
2020-02-10 00:52:55,-80.121020625,61.5804549,-36.45015,-36.71535
2020-02-10 00:52:56,-80.12776418333333,61.61040826666667,-36.40898333333333,-36.6886
2020-02-10 00:52:57,-80.13113932,61.62538506,-36.42794,-36.6764
2020-02-10 00:52:58,-80.13937206,61.661874020000006,-36.3142,-36.63772
2020-02-10 00:52:59,-80.14413534285714,61.68295834285714,-36.381685714285716,-36.623085714285715
2020-02-10 00:53:00,-80.15041116666667,61.71070771666666,-36.32375,-36.617333333333335
2020-02-10 00:53:01,-80.1542128,61.72750015,-36.3038,-36.602916666666665
2020-02-10 00:53:02,-80.15791446666667,61.74383868333334,-36.32958333333334,-36.59025
2020-02-10 00:53:03,-80.16192775714286,61.76153894285714,-36.39742857142857,-36.5773
2020-02-10 00:53:04,-80.1658824,61.778966839999995,-35.76378,-36.542500000000004
2020-02-10 00:53:05,-80.16934535,61.7942162,-26.891599999999997,-36.42695
2020-02-10 00:53:06,-80.1761542,61.82417,-19.8576,-36.1677
2020-02-10 00:53:08,-80.18638505000001,61.8691002,-16.37715,-35.71595
2020-02-10 00:53:09,-80.19104243333334,61.889523133333334,-13.894233333333332,-35.508433333333336
2020-02-10 00:53:14,-80.2115868,61.979385,-22.7874,-35.2508
2020-02-10 00:53:22,-80.2472738,62.1346037,-36.1089,-36.132
2020-02-10 00:53:23,-80.24953656,62.14440714,-36.07916,-36.1808
2020-02-10 00:53:24,-80.25446094285714,62.16572574285714,-36.179542857142856,-36.28092857142857
2020-02-10 00:53:25,-80.2649003,62.21085285,-36.15775,-36.42465
2020-02-10 00:53:26,-80.2743666,62.2517007,-36.3339,-36.5212
2020-02-10 00:53:27,-80.28258673333333,62.2871022,-36.25376666666667,-36.58936666666667
2020-02-10 00:53:30,-80.30478575000001,62.3824144,-36.51415,-36.727500000000006
2020-02-10 00:53:31,-80.30775316666667,62.39512276666667,-36.316300000000005,-36.74196666666666
2020-02-10 00:54:16,-80.617188425,63.6791294,4.075975,-36.045225
2020-02-10 00:54:17,-80.6268509,63.717936511111105,10.11588888888889,-36.02528888888889
2020-02-10 00:54:19,-80.6581733,63.8431924,127.5029,-36.0176
2020-02-10 00:54:22,-80.6979618,64.0011387,-22.6022,-35.9653
2020-02-10 00:54:23,-80.703476775,64.022927325,-24.618825,-35.988375
2020-02-10 00:54:24,-80.72196218333333,64.09578398333333,-35.785583333333335,-36.08524166666667
2020-02-10 00:54:25,-80.7312029,64.13209925833333,-35.813825,-36.123583333333336
2020-02-10 00:54:27,-80.7624608,64.2544367,-35.8198,-36.1822
2020-02-10 01:05:16,109.30755470000001,76.73421673333333,-3.3145333333333333,-3.8539999999999996
2020-02-10 01:05:17,109.272302825,76.68678165,0.10377500000000009,-3.9351875
2020-02-10 01:05:18,109.2582568,76.6678066,-0.6195,-3.9759
2020-02-10 01:06:00,107.36972656666666,73.59538013333334,-11.615283333333332,-11.2004
2020-02-10 01:06:01,107.35646270769232,73.56953440769232,-11.863730769230768,-11.282823076923078
2020-02-10 01:06:02,107.33509702857143,73.52775277857143,-11.95285,-11.393828571428571
2020-02-10 01:06:03,107.30484262142856,73.46828446428572,-12.074807142857143,-11.526007142857143
2020-02-10 01:06:04,107.27289356428571,73.40512082142857,-12.11707857142857,-11.622921428571429
2020-02-10 01:06:05,107.25431487692308,73.36819244615384,-12.114899999999999,-11.657207692307692
2020-02-10 01:06:06,107.23590356428572,73.33145757857143,-12.149278571428571,-11.690264285714287
2020-02-10 01:06:07,107.2168814857143,73.29336103571428,-12.134035714285714,-11.718292857142856
2020-02-10 01:06:08,107.19793177857143,73.25526319285714,-12.136364285714285,-11.74462142857143
2020-02-10 01:06:09,107.1797267,73.21852531538462,-12.058315384615385,-11.777576923076923
2020-02-10 01:06:10,107.16225857272728,73.18314748181818,-12.019963636363634,-11.816063636363635
2020-02-10 02:34:45,-106.69816528999999,68.03187407,38.91771,-32.41458
2020-02-10 02:34:46,-106.71552228823529,68.08573314705883,-11.754688235294118,-32.35811764705882
2020-02-10 02:34:47,-106.73743883125,68.15343901875,-29.57516875,-32.3038375
2020-02-10 02:34:48,-106.76773241666666,68.24654065555555,-32.18150555555556,-32.273827777777775
2020-02-10 02:34:49,-106.79710047647059,68.3362233882353,-31.862576470588237,-32.254094117647064
2020-02-10 02:34:50,-106.81987088571428,68.40538857142857,-23.30072857142857,-32.18855714285714
2020-02-10 02:34:51,-106.84058915714286,68.46800858571429,1.5679999999999998,-32.09807142857143
2020-02-10 02:34:52,-106.851171,68.4999009,12.4964,-32.0513
2020-02-10 02:34:56,-106.93359776666667,68.7458018,37.12423333333333,-31.705533333333335
2020-02-10 02:34:57,-106.9563605,68.81295218666666,-31.218173333333333,-31.592986666666665
2020-02-10 02:34:58,-106.9768071,68.87298378,-31.153520000000004,-31.47203
2020-02-10 02:34:59,-106.99748719473683,68.93345886842106,-31.060226315789475,-31.324515789473683
2020-02-10 02:35:00,-107.01772148,68.99236403500001,-30.941000000000003,-31.157420000000002
2020-02-10 02:35:01,-107.045405095,69.07253912,-30.679160000000003,-30.90536
2020-02-10 02:35:02,-107.07019820833334,69.14395528333334,-29.651866666666667,-30.681241666666665
2020-02-10 02:35:03,-107.09561138333333,69.21677506666667,10.428733333333334,-30.448483333333332
