x,y,lon,lat,date,t,num_obs
0.0,-800000.0,0.0,82.83252397586953,2020-03-05,18326.0,32090
200000.0,-800000.0,14.036243467926479,82.61160901024734,2020-03-05,18326.0,34348
400000.0,-800000.0,26.56505117707799,81.98510420485553,2020-03-05,18326.0,34290
600000.0,-800000.0,36.86989764584402,81.03709620810902,2020-03-05,18326.0,28885
800000.0,-800000.0,45.0,79.85649537502296,2020-03-05,18326.0,27002
1000000.0,-800000.0,51.34019174590991,78.51376036973971,2020-03-05,18326.0,18050
1200000.0,-800000.0,56.309932474020215,77.05806334840771,2020-03-05,18326.0,11477
1400000.0,-800000.0,60.25511870305777,75.52212302086315,2020-03-05,18326.0,4713
1600000.0,-800000.0,63.43494882292201,73.92751631849924,2020-03-05,18326.0,6461
1800000.0,-800000.0,66.03751102542182,72.28859019771264,2020-03-05,18326.0,4817
2000000.0,-800000.0,68.19859051364818,70.61502206702765,2020-03-05,18326.0,1711
-2800000.0,-600000.0,-77.9052429229879,64.12639183610374,2020-03-05,18326.0,1336
-2600000.0,-600000.0,-77.0053832080835,65.91989288480002,2020-03-05,18326.0,2536
-2400000.0,-600000.0,-75.96375653207353,67.70004806623305,2020-03-05,18326.0,2235
-2200000.0,-600000.0,-74.74488129694222,69.46566514284893,2020-03-05,18326.0,1045
-2000000.0,-600000.0,-73.30075576600639,71.21490181341639,2020-03-05,18326.0,3734
-1800000.0,-600000.0,-71.56505117707799,72.94495644858142,2020-03-05,18326.0,8036
-1600000.0,-600000.0,-69.44395478041653,74.65156473683712,2020-03-05,18326.0,8073
-1400000.0,-600000.0,-66.80140948635182,76.32815281340307,2020-03-05,18326.0,4300
-1200000.0,-600000.0,-63.43494882292201,77.96436180211718,2020-03-05,18326.0,1483
-800000.0,-600000.0,-53.13010235415598,81.03709620810902,2020-03-05,18326.0,1221
-600000.0,-600000.0,-45.0,82.397073069655,2020-03-05,18326.0,5227
-400000.0,-600000.0,-33.690067525979785,83.54017881952873,2020-03-05,18326.0,11711
-200000.0,-600000.0,-18.43494882292201,84.33511094211977,2020-03-05,18326.0,19071
0.0,-600000.0,0.0,84.62605109816462,2020-03-05,18326.0,24282
200000.0,-600000.0,18.43494882292201,84.33511094211977,2020-03-05,18326.0,23447
400000.0,-600000.0,33.690067525979785,83.54017881952873,2020-03-05,18326.0,30579
600000.0,-600000.0,45.0,82.397073069655,2020-03-05,18326.0,25499
800000.0,-600000.0,53.13010235415598,81.03709620810902,2020-03-05,18326.0,31594
1000000.0,-600000.0,59.03624346792648,79.54339018880059,2020-03-05,18326.0,28908
1200000.0,-600000.0,63.43494882292201,77.96436180211718,2020-03-05,18326.0,21302
1400000.0,-600000.0,66.80140948635182,76.32815281340307,2020-03-05,18326.0,10919
1600000.0,-600000.0,69.44395478041653,74.65156473683712,2020-03-05,18326.0,9505
1800000.0,-600000.0,71.56505117707799,72.94495644858142,2020-03-05,18326.0,5923
2000000.0,-600000.0,73.30075576600639,71.21490181341639,2020-03-05,18326.0,1240
-2800000.0,-400000.0,-81.86989764584403,64.44967471965828,2020-03-05,18326.0,1395
-2600000.0,-400000.0,-81.2538377374448,66.26587277224371,2020-03-05,18326.0,2520
-2400000.0,-400000.0,-80.53767779197439,68.07239165044936,2020-03-05,18326.0,2309
